,Name,Gender,Matches,Wins,Win Rate %,Age
3,SKACHKOV Kirill (AIN),Male,564,343,60.82,37
4,BERTRAND Irvin (FRA),Male,510,343,67.25,25
5,SAWETTABUT Suthasini (THA),Female,561,341,60.78,30
6,DE NUTTE Sarah (LUX),Female,670,341,50.90,32
7,TIE Yana (HKG),Female,525,339,64.57,45
8,STANKEVICIUS Medardas (LTU),Male,568,339,59.68,25
9,GAO Ning (SGP),Male,524,337,64.31,42
10,PAVLOVICH Viktoria (AIN),Female,533,337,63.23,46
11,ROBLES Alvaro (ESP),Male,584,337,57.71,33
12,ROBINOT Alexandre (FRA),Male,509,337,66.21,29
13,LIU Jia (AUT),Female,536,336,62.69,43
14,FLORE Tristan (FRA),Male,497,336,67.61,30
15,JEON Jihee (KOR),Female,516,336,65.12,32
16,SATO Hitomi (JPN),Female,482,335,69.50,27
17,KUBIK Maciej (POL),Male,511,334,65.36,22
18,LIND Anders (DEN),Male,551,333,60.44,26
19,TANVIRIYAVECHAKUL Padasak (THA),Male,563,333,59.15,28
20,HACHARD Antoine (FRA),Male,500,332,66.40,31
21,MIGOT Marie (FRA),Female,559,332,59.39,26
22,GUO Yue (CHN),Female,403,331,82.13,36
23,SODERLUND Hampus (SWE),Male,537,329,61.27,31
24,RANEFUR Elias (SWE),Male,532,329,61.84,28
0,MOVILEANU Darius (ROU),Male,494,329,66.60,19
1,PFEFER Laura (FRA),Female,516,328,63.57,28
2,TRIGOLOS Daria (AIN),Female,568,328,57.75,25
3,NAKADA Leticia (BRA),Female,462,327,70.78,26
4,TROSMAN Nicole (ISR),Female,509,326,64.05,28
5,LEE Chia-Sheng (TPE),Male,520,326,62.69,29
6,LORENZOTTI Maria (URU),Female,517,326,63.06,28
7,KATSMAN Lev (AIN),Male,458,325,70.96,24
8,SHIN Yubin (KOR),Female,504,325,64.48,20
9,CHERNOVA Daria (AIN),Female,519,324,62.43,27
10,AN Jaehyun (KOR),Male,475,324,68.21,25
11,NI Xia Lian (LUX),Female,486,323,66.46,61
12,KIZUKURI Yuto (JPN),Male,496,323,65.12,25
13,ROSSI Carlo (ITA),Male,531,322,60.64,23
14,FILUS Ruwen (GER),Male,495,321,64.85,37
15,ZHANG Jike (CHN),Male,390,321,82.31,37
16,LUNG Lisa (BEL),Female,544,321,59.01,25
17,LAMADRID Juan (CHI),Male,530,320,60.38,28
18,SGOUROPOULOS Ioannis (GRE),Male,465,320,68.82,24
19,GUO Yan (1982) (CHN),Female,387,318,82.17,42
20,CAREY Charlotte (WAL),Female,596,318,53.36,28
21,MALANINA Maria (AIN),Female,468,318,67.95,27
22,KOZUL Deni (SLO),Male,557,318,57.09,28
23,YANG Heng-Wei (TPE),Male,454,318,70.04,27
24,SURJAN Sabina (SRB),Female,510,318,62.35,24
0,PANG Koen (SGP),Male,534,318,59.55,22
1,ISTRATE Andrei (ROU),Male,463,318,68.68,19
2,ESSID Wassim (TUN),Male,434,318,73.27,17
3,GIONIS Panagiotis (GRE),Male,505,317,62.77,45
4,YOSHIMURA Maharu (JPN),Male,449,317,70.60,31
5,WALKER Samuel (ENG),Male,563,316,56.13,29
6,SAINI Suhana (IND),Female,451,316,70.07,19
7,TSAI Yu-Chin (TPE),Female,450,315,70.00,23
8,KAMATH Archana (IND),Female,499,315,63.13,24
9,HUANG Yi-Hua (TPE),Female,593,314,52.95,40
10,ECSEKI Nandor (HUN),Male,579,314,54.23,28
11,ARLOUSKAYA Alina (AIN),Female,524,314,59.92,29
12,MIKHAILOVA Polina (AIN),Female,526,313,59.51,38
13,CHO Seungmin (KOR),Male,436,313,71.79,26
14,ISHIGAKI Yuka (JPN),Female,454,312,68.72,35
15,PESOTSKA Margaryta (UKR),Female,510,312,61.18,33
16,SAKAI Asuka (JPN),Male,478,312,65.27,28
17,HARIMOTO Miwa (JPN),Female,387,312,80.62,16
18,MATSUDAIRA Kenta (JPN),Male,507,311,61.34,33
19,LORENTZ Romain (FRA),Male,484,311,64.26,32
